CodigoPostulacion;Ciudad;GeneroPostulante;ExperienciaLaboralRelevante;NivelDeEducacion;AreaDelConocimiento;AnosDeExperiencia;TamanoDelaEmpresa;TipoDeEmpresa;AnosEnElActualTrabajo;HorasDeCapacitacion;Etiqueta
4866;647;Masculino;Con experiencia relevante;Universitaria;STEM;10;oct-49;Startup;2;206;0
12726;450;Masculino;Sin experiencia relevante;Ense�anza Med;;1;10000+;Otras;1;152;0
10164;447;Masculino;Con experiencia relevante;Doctorado;STEM;20;100-500;Ltda;4;42;1
8612;449;;Sin experiencia relevante;Universitaria;STEM;12;;;4;50;0
24659;448;Masculino;Sin experiencia relevante;;;3;;;0;106;0
2547;446;Femenino;Con experiencia relevante;Mag�st;STEM;16;1000-4999;Empresa P�bli;2;14;0
13854;444;Masculino;Con experiencia relevante;Ense�anza Med;;4;oct-49;Ltda;2;36;0
31654;451;;Con experiencia relevante;Mag�st;STEM;6;50-99;Startup;1;112;1
13643;445;;Sin experiencia relevante;Universitaria;Sin Licenciatura;9;50-99;Ltda;0;108;0
5590;442;Masculino;Con experiencia relevante;Mag�st;STEM;9;5000-9999;Ltda;3;7;1
22452;452;Femenino;Sin experiencia relevante;Mag�st;STEM;5;;;0;26;1
9006;445;Masculino;Con experiencia relevante;Universitaria;STEM;5;100-500;Ltda;0;87;1
25987;415;Other;Con experiencia relevante;Universitaria;STEM;19;10000+;Empresa P�bli;4;52;1
4476;425;Masculino;Con experiencia relevante;Universitaria;Sin Licenciatura;15;;;5;20;1
25103;431;Masculino;Con experiencia relevante;Universitaria;STEM;11;oct-49;Ltda;1;21;0
5568;429;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;1;92;1
2195;419;Masculino;Con experiencia relevante;Universitaria;STEM;10;100-500;Ltda;2;102;0
30533;435;Masculino;Sin experiencia relevante;Universitaria;Humanidades;5;10000+;Ltda;5;26;0
28512;422;;Con experiencia relevante;Mag�st;STEM;3;<10;Startup;2;7;0
1023;433;Masculino;Sin experiencia relevante;Ense�anza Med;;4;10000+;Ltda;1;43;0
12253;417;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;1;45;0
25296;424;Masculino;Con experiencia relevante;Universitaria;STEM;2;50-99;Startup;2;52;0
13238;420;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;2;19;0
13478;428;;Con experiencia relevante;Universitaria;STEM;2;oct-49;Startup;;32;1
18578;426;Masculino;Con experiencia relevante;Universitaria;Humanidades;20;100-500;Ltda;5;26;1
29975;432;Masculino;Con experiencia relevante;Universitaria;STEM;6;;;1;90;0
26516;427;Masculino;Con experiencia relevante;Universitaria;STEM;6;100-500;Ltda;3;25;0
24690;416;;Con experiencia relevante;Mag�st;STEM;13;<10;;1;15;0
8433;418;Masculino;Con experiencia relevante;Mag�st;Humanidades;20;100-500;Ltda;5;48;0
9572;421;;Sin experiencia relevante;Ense�anza Med;;3;;;;98;0
5878;434;Masculino;Con experiencia relevante;Universitaria;STEM;10;50-99;Ltda;2;142;1
25695;430;Other;Sin experiencia relevante;Mag�st;Humanidades;4;10000+;Ltda;4;13;0
9645;423;Masculino;Con experiencia relevante;Universitaria;STEM;15;;;5;47;0
12730;490;Femenino;Con experiencia relevante;Mag�st;Humanidades;14;500-999;Empresa P�bli;1;28;0
4830;506;;Sin experiencia relevante;;;2;;Ltda;0;228;1
20970;494;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;4;22;0
17271;496;Masculino;Sin experiencia relevante;Universitaria;STEM;1;;;0;18;1
12731;499;Masculino;Con experiencia relevante;Universitaria;STEM;2;oct-49;Ltda;1;29;0
10908;508;Masculino;Con experiencia relevante;Mag�st;STEM;5;100-500;;1;46;0
29117;501;;Sin experiencia relevante;Universitaria;STEM;1;;;0;12;0
3686;491;;Con experiencia relevante;Universitaria;STEM;5;100-500;Ltda;2;17;0
22683;502;Masculino;Con experiencia relevante;Mag�st;STEM;5;50-99;Ltda;2;65;0
22134;495;Masculino;Sin experiencia relevante;Universitaria;Humanidades;3;100-500;Ltda;1;35;0
31765;507;Masculino;Sin experiencia relevante;Universitaria;STEM;9;10000+;Ltda;3;14;0
31449;509;Femenino;Con experiencia relevante;Mag�st;STEM;2;<10;Startup;1;4;0
5987;492;Masculino;Con experiencia relevante;Universitaria;STEM;15;50-99;Ltda;5;12;0
21762;500;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;2;108;0
22070;497;Masculino;Sin experiencia relevante;Universitaria;STEM;20;;;1;136;0
25413;505;Masculino;Con experiencia relevante;Universitaria;STEM;5;oct-49;;1;27;0
5902;504;;Con experiencia relevante;Mag�st;STEM;4;50-99;Startup;1;74;0
28403;503;Masculino;Con experiencia relevante;Universitaria;STEM;15;oct-49;Startup;1;86;0
30937;493;Femenino;Sin experiencia relevante;Universitaria;STEM;1;oct-49;Ltda;2;83;0
28751;498;;Sin experiencia relevante;Ense�anza Med;;4;;;3;75;0
29290;507;Masculino;Sin experiencia relevante;Mag�st;STEM;11;;Empresa P�bli;2;42;0
32401;475;Femenino;Con experiencia relevante;Universitaria;STEM;6;100-500;;1;332;0
19128;477;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;;140;0
29036;479;Masculino;Sin experiencia relevante;Ense�anza Med;;3;;;0;182;0
16869;480;Femenino;Sin experiencia relevante;Universitaria;Humanidades;3;100-500;Ltda;1;13;1
10497;478;;Con experiencia relevante;Universitaria;STEM;5;oct-49;Ltda;2;172;1
18099;485;;Con experiencia relevante;Universitaria;STEM;10;100-500;ONG;1;48;0
12081;483;Masculino;Con experiencia relevante;Universitaria;STEM;9;50-99;Ltda;1;33;0
7364;484;;Sin experiencia relevante;Ense�anza Med;;2;100-500;Ltda;1;142;0
11184;476;;Sin experiencia relevante;Universitaria;STEM;2;100-500;Ltda;1;34;0
7016;482;Masculino;Con experiencia relevante;Universitaria;STEM;6;50-99;Ltda;2;14;1
8695;481;Masculino;Con experiencia relevante;Universitaria;STEM;6;oct-49;Ltda;2;27;1
6172;510;Masculino;Con experiencia relevante;Universitaria;STEM;8;100-500;Ltda;1;24;1
14672;515;;Sin experiencia relevante;Mag�st;STEM;20;;;1;150;0
18257;514;Femenino;Con experiencia relevante;Universitaria;STEM;11;500-999;ONG;5;20;0
24493;518;;Con experiencia relevante;Universitaria;STEM;5;500-999;;1;140;0
1180;521;Masculino;Con experiencia relevante;Universitaria;STEM;12;5000-9999;Ltda;1;52;0
28627;512;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;2;160;0
8168;513;Masculino;Con experiencia relevante;Mag�st;STEM;9;5000-9999;Ltda;2;3;0
10473;516;Masculino;Con experiencia relevante;Universitaria;STEM;2;<10;Ltda;2;2;1
25349;511;Masculino;Con experiencia relevante;Universitaria;STEM;20;1000-4999;Ltda;5;28;0
5220;519;Masculino;Con experiencia relevante;Universitaria;Otros;20;;;4;46;0
4789;517;Masculino;Con experiencia relevante;Universitaria;STEM;8;50-99;Ltda;1;210;0
11338;520;Masculino;Con experiencia relevante;Universitaria;STEM;10;<10;Ltda;1;36;0
27963;535;Masculino;Sin experiencia relevante;Universitaria;STEM;4;;;1;160;1
8571;538;Masculino;Con experiencia relevante;Universitaria;STEM;2;oct-49;ONG;2;101;0
16303;537;Masculino;Con experiencia relevante;Mag�st;STEM;6;50-99;;1;46;0
20576;541;Masculino;Con experiencia relevante;Universitaria;STEM;20;1000-4999;Ltda;5;19;0
32966;543;Masculino;Con experiencia relevante;Universitaria;STEM;3;100-500;Ltda;2;26;1
21199;540;;Con experiencia relevante;Universitaria;STEM;7;<10;ONG;1;90;0
18819;542;Masculino;Con experiencia relevante;Universitaria;STEM;9;<10;Ltda;4;59;0
14199;539;Masculino;Con experiencia relevante;Universitaria;Administraci�n y Neogci;10;50-99;Startup;1;260;0
7666;536;Femenino;Con experiencia relevante;Universitaria;STEM;11;50-99;Ltda;5;74;0
13915;545;Masculino;Con experiencia relevante;Doctorado;STEM;20;100-500;Ltda;2;20;1
10555;546;Masculino;Con experiencia relevante;Universitaria;STEM;12;100-500;Ltda;2;8;0
16040;552;Masculino;Con experiencia relevante;Universitaria;STEM;6;100-500;Ltda;1;131;0
32826;549;Masculino;Con experiencia relevante;Mag�st;STEM;7;;;1;45;0
13253;548;Masculino;Con experiencia relevante;Universitaria;STEM;11;oct-49;Ltda;2;109;0
15637;551;Masculino;Con experiencia relevante;Universitaria;Humanidades;3;100-500;Ltda;1;70;0
28074;553;Femenino;Con experiencia relevante;Universitaria;STEM;20;100-500;ONG;5;17;0
23012;554;Femenino;Sin experiencia relevante;Mag�st;STEM;15;50-99;Ltda;1;51;0
16110;547;Femenino;Con experiencia relevante;Universitaria;STEM;6;50-99;Ltda;3;60;1
3921;550;;Sin experiencia relevante;Doctorado;STEM;20;1000-4999;Empresa P�bli;5;4;0
24530;525;Masculino;Sin experiencia relevante;Universitaria;STEM;12;100-500;Ltda;5;7;0
1924;528;;Con experiencia relevante;Mag�st;STEM;20;100-500;Ltda;3;164;0
32776;529;Masculino;Con experiencia relevante;Universitaria;STEM;20;;;4;290;0
1907;527;Masculino;Sin experiencia relevante;Ense�anza Med;;2;<10;ONG;0;145;0
23947;530;;Sin experiencia relevante;Doctorado;STEM;;;;;70;0
3116;531;Masculino;Sin experiencia relevante;;;3;;;1;24;0
24829;526;Masculino;Sin experiencia relevante;Mag�st;Humanidades;3;10000+;Ltda;1;133;1
30488;560;;Sin experiencia relevante;Universitaria;STEM;2;;;1;20;0
1265;562;Masculino;Con experiencia relevante;Universitaria;STEM;10;<10;Startup;1;76;0
22098;561;Femenino;Sin experiencia relevante;Mag�st;STEM;5;;;4;21;1
13342;563;Femenino;Con experiencia relevante;Universitaria;Otros;8;5000-9999;Ltda;2;34;0
24608;565;Masculino;Sin experiencia relevante;Universitaria;STEM;9;<10;Ltda;2;15;0
20081;566;Masculino;Sin experiencia relevante;Universitaria;STEM;20;;;5;156;0
24796;570;Masculino;Con experiencia relevante;Universitaria;STEM;20;5000-9999;Ltda;5;15;0
7777;571;;Con experiencia relevante;Mag�st;STEM;20;;;0;120;0
22718;364;;Con experiencia relevante;Universitaria;Sin Licenciatura;14;10000+;;5;47;0
1261;357;Masculino;Con experiencia relevante;Universitaria;STEM;12;;;2;100;1
3396;362;Masculino;Con experiencia relevante;Universitaria;STEM;6;500-999;Ltda;0;102;0
4283;360;Masculino;Sin experiencia relevante;Ense�anza Med;;4;;;0;52;0
18998;390;;Con experiencia relevante;Ense�anza Med;;9;oct-49;;4;39;0
2003;397;Masculino;Con experiencia relevante;Ense�anza Med;;4;;;1;112;1
31786;398;Masculino;Sin experiencia relevante;Doctorado;STEM;20;50-99;Ltda;5;14;0
8241;395;;Con experiencia relevante;;;11;;;1;4;0
12154;394;;Con experiencia relevante;Mag�st;Arte;20;1000-4999;ONG;5;55;0
23455;391;Masculino;Con experiencia relevante;Universitaria;STEM;6;10000+;Ltda;4;49;1
19882;396;Masculino;Con experiencia relevante;Universitaria;STEM;15;;;5;72;0
28817;392;Masculino;Con experiencia relevante;Universitaria;STEM;14;5000-9999;Ltda;3;141;1
4656;393;Masculino;Sin experiencia relevante;Ense�anza Med;;6;;Ltda;0;28;0
7280;399;Masculino;Con experiencia relevante;Universitaria;STEM;13;10000+;Ltda;1;6;0
16903;410;Masculino;Con experiencia relevante;Universitaria;Sin Licenciatura;17;5000-9999;Ltda;1;125;0
13333;412;;Con experiencia relevante;Universitaria;STEM;20;;;0;326;0
26241;411;Masculino;Con experiencia relevante;Universitaria;Otros;20;100-500;Ltda;2;33;0
12381;380;;Sin experiencia relevante;Mag�st;STEM;6;10000+;Ltda;5;40;0
4064;385;;Con experiencia relevante;Universitaria;STEM;18;;;1;198;1
32092;386;Femenino;Con experiencia relevante;Mag�st;STEM;15;10000+;Ltda;5;55;0
3766;383;Masculino;Sin experiencia relevante;Universitaria;STEM;20;500-999;Ltda;5;32;0
30496;388;Masculino;Con experiencia relevante;Universitaria;Arte;20;100-500;Ltda;5;11;0
7189;382;Masculino;Con experiencia relevante;Universitaria;STEM;20;<10;Ltda;1;41;0
29497;384;Masculino;Con experiencia relevante;Mag�st;STEM;20;10000+;Empresa P�bli;5;87;1
31593;381;Masculino;Con experiencia relevante;Mag�st;STEM;10;100-500;Ltda;4;114;0
12384;387;;Con experiencia relevante;;;20;;;5;33;0
11986;400;Masculino;Con experiencia relevante;Mag�st;STEM;5;<10;Startup;1;15;0
31033;402;;Sin experiencia relevante;Ense�anza Med;;3;;;1;8;0
14835;230;Femenino;Con experiencia relevante;Ense�anza Med;;2;100-500;ONG;1;22;0
3728;231;Masculino;Con experiencia relevante;Mag�st;STEM;20;5000-9999;Ltda;4;13;0
3024;232;Masculino;Con experiencia relevante;Universitaria;STEM;20;<10;Empresa P�bli;1;246;0
23508;233;Masculino;Con experiencia relevante;Mag�st;STEM;9;oct-49;Ltda;1;22;0
29457;225;Masculino;Con experiencia relevante;Mag�st;STEM;20;<10;Startup;1;81;0
12297;226;;Con experiencia relevante;Universitaria;STEM;4;oct-49;Startup;1;11;0
27708;227;Masculino;Sin experiencia relevante;Universitaria;STEM;5;5000-9999;;;24;1
3065;220;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Startup;1;50;0
29226;221;Masculino;Sin experiencia relevante;Ense�anza Med;;6;;;0;15;0
5493;240;Masculino;Con experiencia relevante;Mag�st;STEM;20;oct-49;Ltda;5;31;0
2891;241;Masculino;Con experiencia relevante;Mag�st;STEM;20;50-99;Ltda;0;84;0
32509;242;Masculino;Con experiencia relevante;Universitaria;STEM;4;10000+;Ltda;1;42;0
31841;235;;Con experiencia relevante;Universitaria;STEM;10;oct-49;Ltda;5;105;1
907;236;Femenino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;5;72;0
29526;245;Masculino;Con experiencia relevante;Universitaria;STEM;14;oct-49;Ltda;5;42;1
10956;248;Masculino;Con experiencia relevante;Universitaria;STEM;15;50-99;Startup;1;152;0
26099;246;Masculino;Con experiencia relevante;Universitaria;STEM;12;10000+;Ltda;1;60;0
26163;247;Masculino;Sin experiencia relevante;Mag�st;STEM;2;;;0;8;0
4120;250;Masculino;Sin experiencia relevante;Mag�st;STEM;13;;;3;17;1
7335;252;Masculino;Sin experiencia relevante;Ense�anza Med;;1;;;1;33;0
706;253;Masculino;Con experiencia relevante;Mag�st;STEM;4;100-500;Startup;0;38;0
9890;251;Masculino;Con experiencia relevante;Universitaria;Humanidades;14;<10;Startup;2;178;0
32683;255;Masculino;Con experiencia relevante;Universitaria;STEM;15;50-99;Ltda;1;11;0
27104;254;Masculino;Con experiencia relevante;Ense�anza Med;;20;;;0;87;0
7731;270;Masculino;Con experiencia relevante;Universitaria;STEM;13;;;0;84;0
31943;273;Masculino;Con experiencia relevante;Universitaria;STEM;20;100-500;Startup;2;32;0
22899;272;;Con experiencia relevante;Mag�st;STEM;9;100-500;Ltda;1;31;1
33339;271;Masculino;Sin experiencia relevante;Universitaria;STEM;2;500-999;Empresa P�bli;1;39;0
20866;260;;Con experiencia relevante;Universitaria;STEM;7;oct-49;Ltda;1;12;0
21634;263;;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;1;50;0
29529;262;Masculino;Con experiencia relevante;Universitaria;STEM;3;100-500;Ltda;1;55;1
4478;264;;Con experiencia relevante;Universitaria;STEM;5;50-99;Ltda;;7;1
32095;261;Masculino;Con experiencia relevante;Mag�st;Humanidades;2;50-99;Startup;1;104;0
18272;310;;Con experiencia relevante;Universitaria;Administraci�n y Neogci;20;;;5;90;1
30098;316;Masculino;Con experiencia relevante;Mag�st;Otros;20;100-500;Ltda;5;8;0
23825;318;Masculino;Sin experiencia relevante;Universitaria;STEM;2;;;0;102;0
7672;317;;Con experiencia relevante;Mag�st;STEM;1;oct-49;Ltda;1;202;1
5633;313;;Con experiencia relevante;Universitaria;STEM;4;100-500;Ltda;1;22;0
30695;314;Masculino;Sin experiencia relevante;Universitaria;STEM;3;;Ltda;0;42;0
5573;312;;Sin experiencia relevante;Ense�anza B�;;4;;Ltda;0;50;0
24936;315;Masculino;Con experiencia relevante;Mag�st;STEM;3;50-99;Startup;1;88;0
397;311;;Con experiencia relevante;Universitaria;STEM;5;1000-4999;Ltda;4;81;0
31602;330;Masculino;Con experiencia relevante;Mag�st;STEM;20;10000+;Ltda;1;7;0
5278;285;Masculino;Sin experiencia relevante;;;3;;Ltda;0;218;0
16814;287;Masculino;Con experiencia relevante;Universitaria;STEM;20;10000+;Ltda;5;62;0
19249;288;Masculino;Con experiencia relevante;Universitaria;STEM;6;50-99;Ltda;1;83;0
9475;561;Masculino;Con experiencia relevante;Universitaria;STEM;9;1000-4999;Ltda;5;11;0
4865;563;Masculino;Sin experiencia relevante;Doctorado;STEM;20;50-99;;5;10;0
20881;565;Masculino;Con experiencia relevante;Mag�st;STEM;10;1000-4999;Ltda;1;114;0
21563;566;;Con experiencia relevante;Mag�st;STEM;3;50-99;Ltda;1;36;0
25114;570;;Sin experiencia relevante;Mag�st;STEM;6;oct-49;Ltda;1;17;0
26002;571;Masculino;Sin experiencia relevante;Universitaria;STEM;2;;;0;80;1
8528;572;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Empresa P�bli;5;108;0
6141;580;Masculino;Con experiencia relevante;Universitaria;STEM;2;100-500;Ltda;2;45;0
27667;581;Masculino;Sin experiencia relevante;Universitaria;STEM;5;;;0;77;0
2821;582;Masculino;Con experiencia relevante;Mag�st;STEM;15;100-500;Ltda;2;8;0
21216;575;;Sin experiencia relevante;Universitaria;STEM;5;;;1;28;0
25495;576;Femenino;Con experiencia relevante;Universitaria;STEM;9;100-500;Startup;5;37;0
20791;590;;Sin experiencia relevante;Universitaria;STEM;2;;;2;108;1
28015;592;Masculino;Con experiencia relevante;Universitaria;STEM;13;500-999;Ltda;2;162;0
10685;591;;Con experiencia relevante;Ense�anza Med;;9;;;5;41;0
405;593;Masculino;Con experiencia relevante;Mag�st;STEM;19;100-500;Ltda;4;4;0
13891;600;Femenino;Sin experiencia relevante;Doctorado;STEM;3;1000-4999;Empresa P�bli;1;41;0
33050;601;;Con experiencia relevante;Universitaria;STEM;17;10000+;Ltda;2;12;0
399;595;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;1;190;0
8202;596;;Con experiencia relevante;Universitaria;STEM;7;50-99;Ltda;5;29;1
8751;597;Masculino;Con experiencia relevante;Universitaria;STEM;6;100-500;Empresa P�bli;1;11;0
20744;585;Masculino;Sin experiencia relevante;Ense�anza Med;;3;10000+;Ltda;1;30;0
25380;586;Masculino;Con experiencia relevante;Mag�st;STEM;13;100-500;;5;39;0
24617;605;Masculino;Con experiencia relevante;Ense�anza Med;;9;;;1;16;0
12509;629;Masculino;Sin experiencia relevante;Universitaria;STEM;20;50-99;Ltda;5;5;0
25473;634;Masculino;Sin experiencia relevante;Ense�anza Med;;8;;;0;39;0
13083;607;Masculino;Con experiencia relevante;Mag�st;STEM;10;50-99;Ltda;5;29;0
12454;625;;Con experiencia relevante;Mag�st;STEM;4;50-99;ONG;2;210;0
3500;628;Other;Sin experiencia relevante;Ense�anza Med;;6;50-99;Startup;1;54;0
15922;608;Masculino;Con experiencia relevante;Universitaria;STEM;9;50-99;Ltda;3;44;0
6685;606;Masculino;Con experiencia relevante;Universitaria;STEM;15;;;5;47;0
28838;624;Masculino;Con experiencia relevante;Universitaria;STEM;20;1000-4999;ONG;5;74;0
24082;618;Masculino;Con experiencia relevante;Mag�st;STEM;6;oct-49;Ltda;1;8;1
24846;620;;Sin experiencia relevante;Universitaria;STEM;7;;;0;20;1
1020;621;Masculino;Con experiencia relevante;Universitaria;STEM;3;500-999;Ltda;1;162;0
6189;615;;Sin experiencia relevante;Universitaria;Administraci�n y Neogci;2;50-99;Ltda;1;110;0
16994;613;Other;Con experiencia relevante;Ense�anza Med;;3;oct-49;Ltda;1;262;0
13135;612;Masculino;Con experiencia relevante;Mag�st;STEM;14;;;1;6;0
14578;627;Masculino;Con experiencia relevante;Universitaria;STEM;9;oct-49;Ltda;1;19;1
20732;632;Other;Sin experiencia relevante;Universitaria;STEM;20;50-99;Ltda;5;23;1
16496;616;Masculino;Sin experiencia relevante;Universitaria;STEM;1;;;1;107;1
16537;630;Masculino;Con experiencia relevante;Mag�st;STEM;15;10000+;;5;134;0
17358;614;Masculino;Con experiencia relevante;Mag�st;STEM;11;oct-49;Startup;1;40;0
21933;626;Masculino;Con experiencia relevante;Universitaria;STEM;12;50-99;Ltda;1;11;0
7342;617;Masculino;Con experiencia relevante;Universitaria;STEM;11;;;3;102;0
5630;610;Masculino;Sin experiencia relevante;Universitaria;STEM;2;;;0;100;0
24152;633;Masculino;Sin experiencia relevante;Mag�st;STEM;3;10000+;Ltda;0;30;0
17762;636;;Sin experiencia relevante;Ense�anza Med;;5;;;1;20;1
4310;631;;Con experiencia relevante;Universitaria;STEM;14;1000-4999;Ltda;3;4;0
5142;609;;Sin experiencia relevante;Ense�anza B�;;5;;;0;15;0
22319;635;Masculino;Sin experiencia relevante;Universitaria;STEM;1;;;1;14;1
30912;619;Masculino;Sin experiencia relevante;Ense�anza B�;;1;;Ltda;0;103;0
20976;623;Masculino;Con experiencia relevante;Universitaria;STEM;5;1000-4999;Empresa P�bli;2;40;0
13150;622;Masculino;Con experiencia relevante;Doctorado;STEM;20;100-500;Ltda;2;27;0
12206;611;Masculino;Sin experiencia relevante;Ense�anza Med;;10;100-500;Ltda;5;46;0
9407;645;Masculino;Con experiencia relevante;Ense�anza Med;;7;50-99;Ltda;5;110;0
13152;647;Masculino;Con experiencia relevante;Universitaria;STEM;13;50-99;Startup;1;96;0
1069;646;;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;2;57;0
25418;640;Masculino;Con experiencia relevante;Universitaria;STEM;6;;;1;240;0
22689;641;Masculino;Con experiencia relevante;Universitaria;STEM;4;50-99;Startup;4;42;0
5104;642;Masculino;Con experiencia relevante;Mag�st;STEM;7;;;1;16;1
13994;650;Masculino;Con experiencia relevante;Universitaria;STEM;20;50-99;Ltda;0;40;1
27064;651;Masculino;Con experiencia relevante;Universitaria;STEM;5;100-500;Startup;2;94;0
14598;653;;Sin experiencia relevante;Universitaria;STEM;9;5000-9999;Ltda;1;160;0
9571;652;Masculino;Sin experiencia relevante;Universitaria;STEM;10;oct-49;Startup;1;25;0
30854;660;Masculino;Con experiencia relevante;Universitaria;STEM;9;<10;Startup;1;11;0
25290;663;;Con experiencia relevante;Ense�anza Med;;1;100-500;Ltda;1;29;0
29640;662;Masculino;Con experiencia relevante;Universitaria;STEM;8;;;1;23;0
17519;661;Masculino;Con experiencia relevante;Universitaria;STEM;10;oct-49;Ltda;2;113;0
12111;664;;Con experiencia relevante;Universitaria;STEM;15;;;2;56;0
6085;670;Masculino;Sin experiencia relevante;Universitaria;STEM;2;;;1;39;1
27277;673;;Sin experiencia relevante;Universitaria;STEM;2;1000-4999;Ltda;1;20;0
31692;672;Masculino;Con experiencia relevante;Universitaria;STEM;20;10000+;Ltda;1;40;0
6052;674;Masculino;Con experiencia relevante;Mag�st;STEM;20;<10;Ltda;5;56;0
18161;671;;Sin experiencia relevante;Universitaria;STEM;4;;;1;106;0
12934;232;Masculino;Con experiencia relevante;Universitaria;STEM;19;500-999;Ltda;2;64;0
30400;233;Masculino;Con experiencia relevante;Universitaria;STEM;5;10000+;Ltda;1;51;0
26419;225;Femenino;Con experiencia relevante;Universitaria;STEM;6;1000-4999;Ltda;2;41;0
4188;226;;Con experiencia relevante;Universitaria;STEM;20;100-500;Ltda;5;150;0
12117;227;Masculino;Con experiencia relevante;Universitaria;STEM;4;oct-49;Ltda;1;320;0
28847;220;Masculino;Con experiencia relevante;Mag�st;STEM;7;;;0;20;0
30472;221;Masculino;Sin experiencia relevante;;;4;1000-4999;Ltda;1;9;1
32534;240;Masculino;Con experiencia relevante;Universitaria;STEM;9;5000-9999;Ltda;1;74;0
22395;241;Masculino;Con experiencia relevante;Mag�st;STEM;3;;Empresa P�bli;1;129;1
4876;242;Femenino;Con experiencia relevante;Mag�st;STEM;10;;;1;42;0
25182;235;;Sin experiencia relevante;Ense�anza Med;;2;100-500;Ltda;0;58;0
26135;236;Masculino;Sin experiencia relevante;Ense�anza Med;;3;;;1;126;1
7517;245;;Sin experiencia relevante;Ense�anza Med;;4;;;1;45;1
